date,open,high,low,close,volume,daily_return,rolling_avg_5d_close,rolling_vol_5d
2000-10-06,22.69,22.94,21.0,22.19,10940300.0,0.005893019038984759,22.886000000000003,0.058599117270886694
2000-10-09,22.62,22.87,21.12,21.75,10670800.0,-0.019828751689950463,22.386000000000003,0.05609567890759603
2000-10-10,21.62,22.44,20.5,20.87,12341100.0,-0.040459770114942506,22.098,0.04773049063494561
2000-10-11,20.12,21.0,19.12,19.62,21400400.0,-0.059894585529468136,21.298000000000002,0.029623040262944378
2000-10-12,20.31,20.81,19.5,20.0,21269000.0,0.019367991845056,20.886000000000003,0.03250130639559631
2000-10-13,20.25,22.12,20.0,22.06,22281300.0,0.10299999999999998,20.860000000000003,0.06442184825648757
2000-10-16,22.31,23.25,21.37,21.5,14646000.0,-0.025385312783318126,20.810000000000002,0.0649049573340169
2000-10-17,21.69,21.94,19.69,20.12,10745000.0,-0.06418604651162785,20.660000000000004,0.06926197251129655
2000-10-18,19.44,21.06,18.75,20.12,14897600.0,0.0,20.759999999999998,0.06231624579249888
2000-10-19,19.16,19.81,18.31,18.94,26905800.0,-0.05864811133200798,20.548000000000002,0.06783049375088424
2000-10-20,19.06,20.37,18.94,19.5,14129700.0,0.029567053854276493,20.036,0.0395676481078091
2000-10-23,20.27,20.56,19.44,20.37,9844500.0,0.04461538461538472,19.81,0.04987683527449411
2000-10-24,20.69,20.87,18.81,18.87,14365200.0,-0.07363770250368185,19.560000000000002,0.05256342588969932
2000-10-25,19.06,19.19,18.44,18.5,11856600.0,-0.019607843137254943,19.236,0.05220995170241722
2000-10-26,18.81,18.87,17.5,18.5,12890200.0,0.0,19.148000000000003,0.046365508596131186
2000-10-27,18.87,19.19,17.87,18.56,13294700.0,0.00324324324324321,18.96,0.043000103059393675
2000-10-30,19.12,19.94,18.75,19.31,11414100.0,0.040409482758620774,18.748,0.04170891425738437
2000-10-31,19.75,20.25,19.25,19.56,15819300.0,0.012946659761781554,18.886,0.02191947530086344
2000-11-01,19.44,20.87,19.44,20.5,10274400.0,0.04805725971370145,19.285999999999998,0.02196564616177612
2000-11-02,21.12,22.44,21.06,22.31,10548100.0,0.08829268292682912,20.048,0.03343004010551243
2000-11-03,23.0,23.0,21.94,22.25,9211100.0,-0.0026893769610040197,20.785999999999998,0.0350635968087462
2000-11-06,22.44,22.62,20.87,21.44,7026400.0,-0.03640449438202242,21.212,0.04789651772743797
2000-11-07,21.5,21.81,20.81,21.31,5392200.0,-0.006063432835821003,21.562,0.049525659473374756
2000-11-08,21.37,21.44,19.81,20.06,7537300.0,-0.05865790708587515,21.474,0.056029999380502
2000-11-09,19.87,20.5,19.06,20.19,8514900.0,0.006480558325025143,21.05,0.027190190991994524
2000-11-10,19.36,19.87,19.06,19.06,7540200.0,-0.055968301139177945,20.412,0.029327295045835557
2000-11-13,18.75,20.0,18.25,19.37,7711000.0,0.01626442812172102,19.998,0.03534778705481407
2000-11-14,19.94,20.5,19.56,20.25,7303600.0,0.04543107898812582,19.786,0.046130764787209136
2000-11-15,20.03,20.19,19.25,19.87,5042100.0,-0.018765432098765356,19.747999999999998,0.03823121685616357
2000-11-16,19.5,19.81,18.87,19.0,4274500.0,-0.0437845998993458,19.509999999999998,0.04208453163339191
